                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.75699,                 1.1814,                0.57417,                 0.9812,                 0.8255,                0.71486,                 0.7609,                0.56304,                0.72748,                0.63052,                0.62217,                0.20446,                 0.9629,                 1.1367,                0.92422,                0.95877,              0.0076735,              0.0076735,              0.0076735
                     99,                0.74594,                 1.1805,                0.57602,                0.97314,                0.83215,                0.71084,                0.77571,                 0.5829,                0.76562,                0.64659,                 0.6347,                0.22376,                0.97798,                 1.1493,                0.88572,                0.94488,               0.007624,               0.007624,               0.007624
                    100,                0.75154,                 1.1948,                0.57272,                0.96964,                0.81336,                0.72289,                0.74727,                0.56052,                0.73191,                0.65863,                0.61735,                0.21883,                0.97161,                 1.1151,                0.91882,                0.94622,              0.0075745,              0.0075745,              0.0075745
                    101,                0.74682,                 1.1721,                0.56771,                0.97188,                 0.7944,                0.72691,                0.74215,                0.56212,                 0.7286,                0.66265,                0.62214,                0.21049,                  0.979,                 1.1913,                0.95641,                0.96855,               0.007525,               0.007525,               0.007525
                    102,                0.74608,                 1.1828,                  0.566,                 0.9714,                 0.8535,                0.68675,                0.76032,                0.58295,                0.76433,                0.61044,                0.60698,                0.22095,                0.94431,                 1.1523,                 0.8828,                0.92716,              0.0074755,              0.0074755,              0.0074755
                    103,                0.74588,                 1.1661,                0.57208,                 0.9738,                0.83883,                0.74699,                0.76918,                0.58694,                0.78272,                0.67997,                0.66241,                0.22967,                0.91247,                 1.1008,                0.87548,                0.91702,               0.007426,               0.007426,               0.007426
                    104,                0.74262,                 1.1675,                0.55663,                0.97248,                0.83215,                0.71888,                0.75356,                0.57696,                0.74051,                0.65326,                0.61967,                 0.2145,                0.92352,                 1.1238,                0.89858,                0.91859,              0.0073765,              0.0073765,              0.0073765
                    105,                0.73877,                 1.1663,                0.55401,                0.96806,                0.79952,                0.73092,                0.76062,                0.58218,                0.77484,                 0.6634,                0.67771,                0.24661,                0.92313,                 1.0809,                 0.8826,                0.92182,               0.007327,               0.007327,               0.007327
                    106,                0.74179,                 1.1703,                0.55385,                0.97093,                0.81373,                0.70683,                0.75184,                0.56911,                0.71093,                0.61446,                0.60178,                0.22249,                0.98283,                 1.1159,                0.90643,                0.97211,              0.0072775,              0.0072775,              0.0072775
                    107,                0.73132,                 1.1565,                0.53903,                0.96581,                0.83204,                0.72289,                0.76505,                0.58464,                0.72335,                0.63052,                0.57933,                0.20696,                0.94123,                 1.1929,                0.90217,                0.91306,               0.007228,               0.007228,               0.007228
                    108,                0.73265,                  1.156,                0.55397,                0.96501,                0.83107,                0.72691,                0.78178,                0.58819,                0.70061,                0.61088,                 0.5798,                0.19759,                0.94508,                 1.1412,                0.86218,                0.95059,              0.0071785,              0.0071785,              0.0071785
                    109,                0.72164,                  1.164,                0.54456,                0.96397,                 0.7794,                 0.7662,                0.76289,                0.58052,                0.68653,                0.66847,                0.62743,                0.21467,                0.91457,                 1.1274,                0.91723,                0.94663,               0.007129,               0.007129,               0.007129
                    110,                0.73912,                 1.1552,                 0.5537,                0.96906,                0.80346,                0.75502,                0.76774,                0.59373,                0.75769,                 0.6506,                0.65871,                0.21554,                0.93858,                 1.1082,                0.89466,                0.95534,              0.0070795,              0.0070795,              0.0070795
                    111,                0.73551,                 1.1627,                0.55004,                0.96464,                0.83902,                0.77108,                0.78692,                0.60021,                0.74809,                0.68675,                0.63487,                0.22491,                0.92022,                 1.1575,                0.81048,                 0.9214,                0.00703,                0.00703,                0.00703
                    112,                0.71785,                 1.1363,                0.53666,                0.96132,                0.83169,                0.75904,                0.77447,                0.58319,                0.69658,                0.64257,                0.59265,                0.21323,                0.94018,                 1.2083,                0.87237,                0.93429,              0.0069805,              0.0069805,              0.0069805
                    113,                0.71761,                 1.1324,                0.53596,                0.96229,                 0.7774,                0.75739,                0.75599,                0.56869,                0.65753,                0.61847,                0.55394,                0.19941,                 0.9356,                 1.1902,                0.92167,                0.89862,               0.006931,               0.006931,               0.006931
                    114,                0.71766,                 1.1524,                 0.5398,                0.96151,                0.81672,                0.74297,                0.77495,                0.60245,                0.74589,                 0.6747,                0.64668,                0.22933,                 0.9047,                 1.1365,                0.87287,                0.91873,              0.0068815,              0.0068815,              0.0068815
                    115,                0.71624,                 1.1435,                0.53305,                0.96252,                0.81208,                 0.7751,                0.77104,                0.58968,                0.74919,                0.66265,                0.63999,                0.21112,                0.92293,                 1.1449,                0.87463,                0.93048,               0.006832,               0.006832,               0.006832
                    116,                0.72507,                 1.1501,                0.53445,                0.96548,                0.85043,                0.76305,                0.78004,                0.60332,                 0.7618,                0.68075,                0.64667,                0.22569,                0.90159,                 1.1326,                0.86449,                0.88238,              0.0067825,              0.0067825,              0.0067825
                    117,                0.72848,                 1.1389,                0.53966,                0.96575,                0.78693,                0.72289,                0.73875,                 0.5522,                0.71326,                0.64935,                0.59762,                0.21038,                0.95231,                 1.1418,                0.89879,                0.94751,               0.006733,               0.006733,               0.006733
                    118,                0.71297,                 1.1364,                0.52603,                0.96217,                0.79761,                0.75969,                0.77466,                 0.6006,                0.73129,                0.69478,                0.67643,                0.23381,                0.90999,                 1.1281,                0.86494,                0.92964,              0.0066835,              0.0066835,              0.0066835
                    119,                0.71539,                 1.1423,                0.53415,                 0.9609,                0.83192,                0.73494,                0.76783,                0.58963,                0.77268,                0.67068,                0.65191,                0.21734,                0.91156,                 1.1117,                0.84809,                0.93547,               0.006634,               0.006634,               0.006634
                    120,                0.70857,                 1.1396,                0.52549,                0.95586,                0.86076,                0.77912,                0.78722,                0.60393,                0.75108,                0.63014,                0.58363,                0.20271,                0.88965,                 1.2062,                0.84529,                0.89775,              0.0065845,              0.0065845,              0.0065845
                    121,                0.70903,                 1.1229,                0.52135,                0.95865,                0.86164,                0.74297,                0.77364,                0.61348,                0.78815,                0.67871,                0.66754,                0.23085,                 0.8643,                 1.0998,                0.80615,                0.91029,               0.006535,               0.006535,               0.006535
                    122,                0.70705,                 1.1239,                0.52717,                0.95704,                0.82891,                0.75881,                0.78071,                0.61725,                0.76416,                0.68675,                0.67126,                0.22813,                0.88512,                 1.1326,                0.82868,                0.91234,              0.0064855,              0.0064855,              0.0064855
                    123,                0.70715,                 1.1286,                0.52572,                0.95598,                0.81641,                0.73494,                0.74803,                0.58481,                0.72557,                0.61847,                0.58496,                0.20456,                0.91815,                  1.151,                0.87404,                0.92463,               0.006436,               0.006436,               0.006436
                    124,                0.71169,                 1.1426,                0.51741,                0.95604,                0.80945,                0.72691,                0.75758,                0.58912,                0.71024,                0.62651,                0.59766,                0.22562,                0.90293,                 1.1699,                 0.8755,                0.89132,              0.0063865,              0.0063865,              0.0063865
                    125,                0.68545,                 1.1299,                0.50313,                 0.9512,                0.82654,                0.72289,                0.74887,                0.57827,                0.75741,                0.65203,                0.62621,                0.22123,                0.89035,                 1.1072,                0.86151,                0.91938,               0.006337,               0.006337,               0.006337
                    126,                0.72306,                 1.1308,                0.54103,                 0.9549,                0.86439,                0.73896,                0.78515,                0.59255,                0.79151,                 0.6747,                0.66955,                0.23815,                 0.9675,                 1.1026,                0.86984,                0.91996,                   0.01,                   0.01,                   0.01
                    127,                0.73242,                 1.1398,                0.55643,                0.96544,                0.81168,                0.74699,                0.74711,                0.56303,                0.73958,                0.64257,                0.61749,                0.21987,                0.96775,                 1.1868,                0.93515,                0.97055,              0.0099505,              0.0099505,              0.0099505
                    128,                0.74202,                 1.1474,                0.55566,                0.96583,                0.79566,                0.75502,                0.75752,                0.56677,                0.71877,                0.65863,                0.60791,                0.21707,                0.97639,                 1.1206,                0.90128,                0.94996,               0.009901,               0.009901,               0.009901
                    129,                0.73496,                 1.1345,                0.55424,                0.96334,                0.80745,                0.75788,                 0.7762,                0.58181,                0.72657,                0.71888,                0.67828,                0.23576,                0.92185,                 1.0937,                0.87185,                0.91594,              0.0098515,              0.0098515,              0.0098515
                    130,                0.74331,                 1.1529,                 0.5549,                0.96755,                0.77307,                0.77912,                 0.7609,                0.58251,                0.71583,                0.67068,                0.63225,                  0.228,                0.90771,                 1.1252,                0.88839,                0.92683,               0.009802,               0.009802,               0.009802
                    131,                0.74506,                 1.1307,                0.56311,                0.97421,                0.78531,                0.76388,                0.77186,                0.59727,                0.74709,                0.65462,                0.63948,                 0.2214,                0.90711,                 1.1792,                0.89043,                0.88943,              0.0097525,              0.0097525,              0.0097525
                    132,                0.74518,                 1.1481,                0.56246,                 0.9652,                0.78704,                0.75502,                0.75061,                0.58928,                0.68897,                0.64659,                0.58558,                0.21374,                 0.9168,                 1.1756,                0.88864,                0.88401,               0.009703,               0.009703,               0.009703
                    133,                0.74437,                 1.1376,                0.55592,                0.96741,                0.83383,                0.72691,                0.73278,                0.57673,                0.73341,                0.66265,                0.60816,                 0.2189,                0.89337,                 1.1381,                0.88468,                0.90046,              0.0096535,              0.0096535,              0.0096535
                    134,                0.73258,                 1.1325,                0.54814,                0.96583,                0.74783,                 0.7384,                0.72436,                0.56242,                0.72539,                0.63052,                0.59884,                0.20489,                   0.94,                 1.1382,                0.91446,                0.94077,               0.009604,               0.009604,               0.009604
                    135,                0.73166,                 1.1297,                0.54834,                0.96175,                0.85721,                0.73092,                0.77698,                0.60017,                0.74567,                0.62249,                0.60772,                0.23547,                0.92181,                 1.1131,                0.89304,                 0.9357,              0.0095545,              0.0095545,              0.0095545
                    136,                 0.7372,                 1.1331,                0.54533,                 0.9675,                0.85145,                0.75964,                0.78488,                0.60282,                0.74779,                0.66681,                0.63536,                0.22324,                0.92145,                 1.1314,                0.91516,                0.92597,               0.009505,               0.009505,               0.009505
                    137,                0.73142,                 1.1408,                0.55778,                0.96288,                0.79612,                0.72691,                0.74554,                0.54838,                0.72121,                0.61297,                0.57877,                0.19867,                0.96298,                  1.153,                0.96741,                0.94924,              0.0094555,              0.0094555,              0.0094555
                    138,                0.73213,                 1.1323,                0.54518,                0.96302,                0.85362,                0.73092,                0.76532,                 0.5825,                0.74998,                0.63855,                0.59911,                0.22135,                0.93775,                 1.1161,                 0.8973,                0.90819,               0.009406,               0.009406,               0.009406
                    139,                0.72954,                 1.1525,                0.53988,                0.95834,                0.83947,                0.74699,                0.78245,                0.59032,                0.78247,                0.68273,                0.65049,                0.23397,                0.92353,                 1.0917,                 0.8923,                0.91614,              0.0093565,              0.0093565,              0.0093565
                    140,                0.72424,                 1.1205,                 0.5389,                0.96094,                0.81005,                0.73643,                0.73067,                0.55535,                0.75432,                0.66265,                0.63626,                0.22749,                 0.9824,                  1.138,                0.91264,                0.94514,               0.009307,               0.009307,               0.009307
                    141,                0.72358,                 1.1348,                0.53626,                0.96242,                0.81662,                0.75114,                0.75699,                0.57968,                0.72943,                0.63454,                0.59588,                0.21504,                0.91396,                 1.1539,                0.89975,                0.91501,              0.0092575,              0.0092575,              0.0092575
                    142,                0.72811,                 1.1546,                0.53706,                0.95919,                0.80256,                0.77108,                 0.7714,                0.59675,                0.73492,                0.69034,                0.66681,                0.22701,                0.89762,                 1.0857,                0.86579,                0.93251,               0.009208,               0.009208,               0.009208
                    143,                0.72293,                 1.1349,                0.54263,                0.96071,                0.83191,                0.73542,                0.77502,                0.59659,                0.77328,                0.68273,                0.67707,                0.22553,                0.91776,                 1.0893,                0.83725,                0.93974,              0.0091585,              0.0091585,              0.0091585
                    144,                0.71734,                 1.1361,                0.53622,                 0.9573,                 0.8448,                0.71486,                  0.768,                0.57083,                 0.6987,                0.58671,                0.54785,                0.19094,                0.95473,                 1.2108,                0.90865,                0.95565,               0.009109,               0.009109,               0.009109
                    145,                0.72851,                 1.1226,                 0.5423,                0.96711,                0.84437,                0.68273,                0.76271,                 0.5779,                0.74094,                0.60241,                0.60445,                0.23227,                0.93088,                 1.1333,                0.94189,                0.91612,              0.0090595,              0.0090595,              0.0090595
                    146,                0.72252,                 1.1248,                0.53638,                0.96144,                0.81073,                0.75904,                0.75565,                0.57184,                0.70778,                0.66265,                0.59754,                0.21761,                0.92245,                 1.2144,                 0.9063,                0.93061,                0.00901,                0.00901,                0.00901
                    147,                0.73178,                 1.1232,                0.54209,                0.96519,                0.83422,                0.74297,                0.76787,                0.57205,                0.72349,                0.64257,                0.60173,                0.20439,                0.94821,                 1.1667,                0.86702,                0.95388,              0.0089605,              0.0089605,              0.0089605
                    148,                0.72393,                 1.1349,                0.54541,                0.95909,                0.87267,                0.71084,                0.76821,                0.61081,                0.78939,                0.64727,                0.65257,                0.23513,                0.85247,                 1.0923,                0.86485,                0.91126,               0.008911,               0.008911,               0.008911
                    149,                0.71591,                 1.1159,                0.53904,                0.95933,                0.79267,                0.73494,                0.76063,                0.58661,                0.76008,                0.60241,                0.60244,                0.21513,                 0.9022,                 1.1511,                0.87956,                0.91657,              0.0088615,              0.0088615,              0.0088615
                    150,                0.72927,                  1.139,                0.54276,                0.95919,                0.83946,                0.73494,                0.76168,                 0.5919,                0.72749,                0.62249,                0.58245,                0.20683,                0.89299,                 1.1513,                0.85746,                0.88667,               0.008812,               0.008812,               0.008812
                    151,                 0.7065,                 1.1158,                0.52308,                0.95607,                0.86103,                0.72289,                0.77412,                0.60673,                0.79152,                0.66265,                0.68002,                0.23347,                 0.8787,                 1.1095,                0.84712,                0.91086,              0.0087625,              0.0087625,              0.0087625
                    152,                0.71986,                 1.1211,                0.53229,                0.95859,                0.84371,                0.75904,                0.78723,                0.61936,                0.78692,                0.68227,                0.68156,                 0.2354,                0.88357,                 1.0739,                0.82338,                0.92701,               0.008713,               0.008713,               0.008713
                    153,                0.71537,                 1.1082,                0.51987,                0.95807,                0.82987,                0.73494,                0.77223,                0.61746,                0.73301,                 0.6506,                0.63081,                0.22178,                0.87766,                 1.1037,                0.82297,                 0.9032,              0.0086635,              0.0086635,              0.0086635
                    154,                0.71118,                 1.1216,                0.52822,                0.95548,                0.84766,                0.71508,                0.74657,                0.60137,                0.73059,                0.62078,                0.58495,                0.22394,                0.85602,                 1.1329,                0.85356,                0.89975,               0.008614,               0.008614,               0.008614
                    155,                 0.7127,                 1.1206,                0.52149,                0.95566,                0.75619,                0.74297,                 0.7527,                0.59973,                0.77114,                0.59438,                0.61744,                0.22695,                0.87066,                 1.1537,                0.83411,                0.88742,              0.0085645,              0.0085645,              0.0085645
                    156,                0.70067,                 1.1074,                0.52298,                0.95032,                0.83583,                0.75655,                0.76416,                0.60295,                0.78169,                0.70281,                0.68635,                0.24065,                0.86172,                 1.0881,                 0.8227,                0.89409,               0.008515,               0.008515,               0.008515
                    157,                0.70283,                 1.1149,                0.52283,                0.94884,                0.81106,                0.74297,                0.73251,                0.57301,                0.74063,                 0.6422,                0.60621,                0.21875,                0.91617,                  1.175,                0.87037,                0.92528,              0.0084655,              0.0084655,              0.0084655
                    158,                0.70303,                 1.1096,                0.51146,                0.95152,                0.85542,                0.70683,                0.75047,                0.59077,                0.78718,                0.61044,                0.61498,                 0.2255,                0.91062,                 1.1117,                0.83874,                0.90769,               0.008416,               0.008416,               0.008416
                    159,                0.70458,                  1.106,                0.51383,                 0.9522,                0.83768,                0.70466,                0.75485,                0.57835,                0.78255,                0.64257,                0.62101,                0.21273,                0.92248,                 1.1757,                0.84704,                0.91222,              0.0083665,              0.0083665,              0.0083665
                    160,                0.70481,                 1.1295,                0.51712,                0.95092,                0.84143,                0.74587,                0.76532,                0.59185,                0.79088,                0.66828,                   0.66,                0.22064,                  0.874,                 1.1341,                0.86357,                0.90653,               0.008317,               0.008317,               0.008317
                    161,                0.71061,                 1.1069,                0.52438,                0.95686,                0.83439,                0.71084,                0.76604,                  0.592,                0.75808,                0.66698,                  0.652,                0.23813,                  0.935,                 1.1117,                0.88658,                0.89634,              0.0082675,              0.0082675,              0.0082675
                    162,                0.70781,                 1.1129,                0.51274,                0.95646,                0.77811,                0.76305,                0.74721,                0.56609,                0.73335,                0.67376,                0.64608,                0.22869,                0.90687,                 1.1226,                 0.9077,                0.91911,               0.008218,               0.008218,               0.008218
                    163,                0.70018,                   1.11,                0.50704,                0.95161,                0.81128,                0.73494,                 0.7512,                0.58412,                0.71768,                 0.6506,                0.57897,                0.21376,                0.91345,                 1.1773,                0.87942,                0.93819,              0.0081685,              0.0081685,              0.0081685
                    164,                0.69705,                 1.0869,                0.51272,                0.95257,                 0.8441,                0.71759,                0.77138,                0.58444,                0.73813,                0.63454,                0.60175,                0.22056,                0.88851,                 1.1803,                0.86986,                0.90025,               0.008119,               0.008119,               0.008119
                    165,                0.69558,                 1.1072,                0.50814,                0.95114,                0.85772,                0.75904,                0.79504,                0.60438,                0.77123,                0.69478,                0.66464,                 0.2299,                0.88021,                 1.1887,                  0.821,                0.91984,              0.0080695,              0.0080695,              0.0080695
                    166,                0.69331,                 1.1076,                0.50319,                0.94944,                0.85217,                0.74083,                 0.7776,                0.59821,                0.80393,                0.67512,                0.67292,                0.24164,                0.90746,                 1.1742,                0.81486,                0.92251,                0.00802,                0.00802,                0.00802
                    167,                0.69836,                 1.1065,                0.49964,                0.94731,                0.83511,                0.73226,                 0.7529,                0.59272,                0.79243,                0.66265,                0.64788,                0.22455,                0.86186,                 1.1962,                0.83301,                0.89141,              0.0079705,              0.0079705,              0.0079705
                    168,                0.69087,                  1.104,                0.50566,                0.94763,                0.84487,                0.72289,                0.76046,                0.60255,                0.73115,                0.63454,                 0.6029,                0.21015,                0.89944,                 1.2151,                0.84271,                0.91833,               0.007921,               0.007921,               0.007921
                    169,                0.69281,                 1.0974,                0.49939,                0.94606,                0.80196,                0.78313,                0.79071,                0.60255,                0.76001,                0.61446,                0.60733,                0.21473,                0.90669,                 1.2522,                0.79245,                0.93171,              0.0078715,              0.0078715,              0.0078715
                    170,                0.69101,                 1.1061,                0.51002,                0.94993,                 0.8368,                0.72073,                0.77461,                0.58501,                0.72432,                0.63454,                0.60715,                0.21742,                0.88998,                 1.1383,                0.82829,                0.93873,               0.007822,               0.007822,               0.007822
                    171,                0.69204,                 1.0915,                0.49993,                0.95077,                0.80348,                0.73896,                0.75122,                0.57513,                0.71281,                0.63855,                0.57621,                0.20922,                0.94094,                 1.1518,                0.88207,                0.94321,              0.0077725,              0.0077725,              0.0077725
                    172,                 0.6815,                 1.0902,                0.49726,                0.94747,                0.83419,                0.75904,                0.77147,                0.60061,                 0.7282,                0.65462,                0.63445,                0.21511,                 0.9012,                 1.1649,                0.84024,                0.91806,               0.007723,               0.007723,               0.007723
                    173,                0.68954,                 1.0879,                0.49552,                0.95179,                0.86666,                0.74699,                0.78292,                0.60743,                0.68505,                0.64659,                0.57889,                0.20377,                0.93222,                 1.2391,                0.85424,                0.94741,              0.0076735,              0.0076735,              0.0076735
                    174,                0.68194,                 1.0848,                0.49587,                 0.9452,                0.84167,                0.74723,                0.78296,                0.61502,                0.74436,                 0.6506,                0.63451,                0.23438,                0.88058,                 1.1519,                 0.8463,                0.90573,               0.007624,               0.007624,               0.007624
                    175,                 0.6869,                 1.1033,                0.49437,                0.93985,                0.83755,                 0.7661,                0.79392,                 0.5935,                0.77895,                0.65863,                0.65173,                0.22621,                0.89598,                 1.1435,                0.83013,                0.92059,              0.0075745,              0.0075745,              0.0075745
                    176,                 0.6585,                 1.0784,                0.46718,                0.94121,                 0.8348,                0.75091,                0.76707,                 0.5892,                0.74649,                 0.6506,                0.62913,                0.21385,                0.90088,                 1.1808,                0.82556,                0.90912,               0.007525,               0.007525,               0.007525
                    177,                 0.6844,                 1.0771,                0.49936,                0.94043,                0.86669,                0.75502,                0.78902,                0.62733,                 0.8252,                0.65462,                0.64903,                0.22945,                0.84512,                 1.1589,                0.78017,                0.87619,                   0.01,                   0.01,                   0.01
                    178,                0.69835,                 1.0939,                0.51374,                0.94839,                 0.8336,                  0.751,                0.76695,                0.59669,                0.75101,                 0.6747,                0.61372,                0.22317,                0.88808,                 1.1753,                0.84032,                0.90447,              0.0099505,              0.0099505,              0.0099505
                    179,                0.69747,                 1.0932,                0.51521,                0.94671,                0.82239,                0.73896,                0.77131,                 0.5953,                0.72602,                0.66667,                0.60614,                0.22714,                0.92256,                 1.1642,                0.89409,                0.92295,               0.009901,               0.009901,               0.009901
                    180,                0.70112,                 1.0783,                0.51216,                0.94866,                0.82192,                0.76707,                0.76431,                0.59258,                0.74431,                0.68675,                0.60937,                0.23039,                0.89485,                 1.1329,                0.87624,                0.89931,              0.0098515,              0.0098515,              0.0098515
                    181,                0.69894,                 1.0944,                0.51013,                0.95257,                0.78649,                0.75448,                0.75549,                0.60035,                0.71096,                0.68161,                0.63599,                0.22092,                0.88033,                 1.1466,                0.84348,                0.91871,               0.009802,               0.009802,               0.009802
                    182,                 0.7041,                 1.0833,                0.52884,                0.95694,                0.77908,                0.72289,                0.74435,                0.59495,                0.67863,                  0.653,                0.62097,                0.22386,                0.89102,                  1.184,                0.88491,                0.91602,              0.0097525,              0.0097525,              0.0097525
                    183,                0.70183,                 1.0942,                0.51692,                0.94526,                0.82144,                0.73901,                0.75578,                0.60302,                0.73855,                0.65801,                0.62782,                0.23053,                0.87057,                   1.19,                0.84093,                0.90334,               0.009703,               0.009703,               0.009703
                    184,                0.70117,                 1.0855,                0.51102,                0.94764,                0.83885,                0.72289,                0.76697,                0.59943,                0.77686,                0.65863,                0.63056,                0.22174,                0.89245,                 1.1507,                0.84494,                0.90979,              0.0096535,              0.0096535,              0.0096535
                    185,                0.69408,                   1.08,                0.50597,                0.94876,                0.81297,                0.71888,                0.74553,                0.58729,                0.76051,                0.61847,                0.61197,                0.21317,                0.88722,                 1.1905,                0.86777,                0.89904,               0.009604,               0.009604,               0.009604
                    186,                0.68896,                 1.0789,                0.50294,                0.94673,                 0.8205,                0.74699,                0.75493,                0.58987,                 0.7454,                0.68675,                0.64395,                0.22679,                0.86768,                 1.1576,                0.84075,                0.89809,              0.0095545,              0.0095545,              0.0095545
                    187,                0.69407,                 1.0815,                0.50868,                0.94885,                0.83141,                0.76305,                0.76524,                0.60189,                0.72627,                0.68675,                0.64423,                0.23624,                0.88653,                  1.152,                0.85047,                0.88873,               0.009505,               0.009505,               0.009505
                    188,                0.68974,                 1.0871,                0.50369,                0.94912,                0.86581,                0.71486,                0.75617,                0.59867,                0.77535,                0.65147,                0.64741,                0.22588,                0.89425,                 1.1477,                0.84698,                0.91244,              0.0094555,              0.0094555,              0.0094555
                    189,                0.68961,                 1.0728,                0.49939,                0.94785,                0.87327,                0.74297,                0.76655,                0.60964,                0.80523,                0.66416,                0.65928,                0.22999,                 0.8775,                 1.1392,                0.84777,                0.91857,               0.009406,               0.009406,               0.009406
                    190,                0.60319,                0.77932,                0.49754,                0.95486,                0.86646,                0.72962,                0.75254,                0.59473,                0.75619,                 0.6747,                0.62402,                0.22941,                0.90608,                 1.1312,                0.85488,                 0.9208,              0.0093565,              0.0093565,              0.0093565
                    191,                0.59711,                0.77489,                0.49611,                 0.9487,                0.87066,                0.72995,                0.77043,                0.60957,                 0.7821,                 0.6506,                0.64434,                0.22976,                0.85338,                 1.1256,                0.85341,                0.89434,               0.009307,               0.009307,               0.009307
                    192,                0.59313,                0.75073,                0.48124,                 0.9433,                0.78786,                0.75502,                0.74759,                0.58319,                0.73602,                0.69076,                0.63343,                0.23133,                0.90452,                 1.1087,                0.84594,                0.92043,              0.0092575,              0.0092575,              0.0092575
                    193,                0.60266,                 0.7611,                0.49229,                0.94993,                0.82246,                0.76278,                 0.7672,                0.59887,                0.72953,                0.69076,                0.65785,                0.23281,                0.88131,                  1.087,                0.84761,                0.91944,               0.009208,               0.009208,               0.009208
                    194,                0.59418,                0.75908,                0.48099,                0.95149,                0.85799,                0.76707,                0.78897,                0.60506,                0.74472,                0.65863,                 0.6234,                0.22403,                0.86726,                 1.1457,                 0.7943,                0.89552,              0.0091585,              0.0091585,              0.0091585
                    195,                0.59517,                0.76999,                0.48557,                0.94434,                0.86132,                0.74828,                0.77279,                0.60695,                0.76546,                0.64659,                0.63234,                0.22005,                0.85172,                 1.1476,                0.82924,                0.88801,               0.009109,               0.009109,               0.009109
                    196,                0.59867,                0.76656,                0.47077,                0.94657,                0.84582,                 0.7491,                0.77133,                0.60797,                0.75966,                0.67279,                0.67327,                0.23959,                0.84034,                  1.091,                0.82322,                0.89276,              0.0090595,              0.0090595,              0.0090595
                    197,                0.58445,                0.75251,                0.46413,                0.93809,                0.77968,                0.73903,                0.74802,                0.59946,                0.73507,                0.63515,                0.62357,                0.23431,                0.86977,                 1.1198,                0.84884,                0.90278,                0.00901,                0.00901,                0.00901
                    198,                0.59066,                0.75354,                 0.4662,                0.94061,                0.79349,                0.72289,                0.73017,                 0.5782,                0.71877,                0.64666,                0.62534,                0.22238,                0.87778,                 1.1539,                0.87465,                0.90244,              0.0089605,              0.0089605,              0.0089605
                    199,                0.57854,                0.74219,                0.45758,                0.93954,                0.81631,                0.74958,                0.73779,                0.59251,                0.74841,                0.66667,                0.62934,                0.23042,                0.84297,                 1.1422,                0.83577,                0.90166,               0.008911,               0.008911,               0.008911
