                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.92238,                 1.3118,                0.79212,                 1.0482,                0.79839,                0.66667,                0.70982,                0.51339,                0.70501,                0.63348,                0.59462,                0.20928,                 1.0694,                 1.1275,                 1.0802,                0.99658,               0.008911,               0.008911,               0.008911
                     24,                 0.9165,                 1.2942,                0.78359,                 1.0451,                0.78608,                0.71084,                0.72476,                0.52201,                0.75801,                0.63855,                0.61227,                0.22523,                 1.1396,                 1.1461,                 1.1037,                0.99687,              0.0088615,              0.0088615,              0.0088615
                     25,                0.91908,                 1.3193,                0.78678,                  1.046,                0.83739,                0.76305,                0.76008,                0.54901,                0.78163,                0.69001,                0.66477,                0.22435,                 1.0527,                  1.126,                 1.0254,                0.95936,               0.008812,               0.008812,               0.008812
                     26,                0.89866,                 1.2931,                0.77136,                 1.0409,                0.83776,                 0.7051,                0.74846,                0.54267,                0.79278,                0.65462,                 0.6566,                0.23313,                 1.0701,                 1.1406,                 1.0293,                 1.0057,              0.0087625,              0.0087625,              0.0087625
                     27,                0.90995,                 1.3056,                0.77454,                 1.0435,                 0.8078,                0.72581,                0.75839,                0.54184,                0.76578,                0.67871,                0.67503,                0.22811,                 1.0986,                 1.0512,                 1.0538,                 1.0223,               0.008713,               0.008713,               0.008713
                     28,                0.90316,                 1.2874,                0.77011,                 1.0448,                0.79608,                0.67871,                0.73653,                0.52239,                0.72639,                0.62651,                0.61935,                0.21295,                 1.1211,                 1.1389,                 1.0759,                 1.0075,              0.0086635,              0.0086635,              0.0086635
                     29,                0.88814,                 1.3043,                0.76285,                 1.0343,                0.86734,                0.70898,                0.79134,                0.58072,                0.78595,                0.62249,                0.63559,                 0.2261,                 1.0024,                  1.105,                0.95901,                0.94097,               0.008614,               0.008614,               0.008614
                     30,                0.89405,                 1.3011,                0.75341,                  1.035,                0.80248,                0.73423,                0.76153,                0.53286,                0.72683,                0.68389,                0.64488,                0.23295,                 1.0977,                  1.049,                0.97209,                0.95889,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.8861,                 1.2818,                 0.7539,                 1.0345,                0.77946,                0.70281,                0.74607,                0.53399,                0.73881,                0.66667,                0.67642,                0.22654,                 1.0411,                 1.0678,                 1.0102,                0.94359,               0.008515,               0.008515,               0.008515
                     32,                0.87895,                 1.2721,                0.74642,                 1.0284,                0.71557,                0.73896,                0.71856,                0.51378,                0.63903,                 0.6541,                0.60324,                0.20977,                  1.034,                 1.1099,                 1.0638,                0.98526,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.8727,                 1.2883,                0.72476,                 1.0277,                0.74929,                0.71084,                0.73786,                0.53104,                0.74074,                0.63454,                0.62937,                0.23075,                 1.0366,                 1.0822,                 1.0099,                0.97124,               0.008416,               0.008416,               0.008416
                     34,                0.87516,                 1.2899,                0.73014,                 1.0309,                0.75759,                0.70281,                0.74165,                0.53862,                0.64873,                0.66753,                0.62885,                0.22475,                0.99362,                 1.0948,                 1.0088,                0.92193,              0.0083665,              0.0083665,              0.0083665
                     35,                0.89397,                 1.2871,                0.75456,                 1.0363,                0.79874,                0.73092,                0.75305,                 0.5384,                0.71112,                0.65863,                0.63158,                0.22493,                 1.0821,                 1.1233,                 1.0049,                0.99951,                   0.01,                   0.01,                   0.01
                     36,                0.89248,                 1.2968,                0.75419,                 1.0332,                0.72879,                0.65863,                0.68743,                0.47922,                0.62976,                0.57028,                0.53413,                0.17099,                 1.1222,                 1.2373,                 1.1371,                 1.0163,              0.0099505,              0.0099505,              0.0099505
                     37,                0.88535,                 1.2934,                0.74193,                 1.0299,                0.79296,                0.70755,                0.74369,                0.53971,                0.71267,                0.63751,                0.61277,                0.21353,                 1.0653,                 1.1103,                 1.0214,                0.96657,               0.009901,               0.009901,               0.009901
                     38,                0.87937,                 1.2733,                0.73427,                 1.0272,                0.77506,                0.73896,                0.73613,                 0.5258,                0.71837,                0.67068,                0.63274,                0.22617,                  1.034,                 1.0755,                 1.0327,                0.95075,              0.0098515,              0.0098515,              0.0098515
                     39,                0.87684,                 1.2835,                0.73487,                 1.0278,                0.77144,                0.67871,                0.74508,                0.52978,                0.69222,                0.61044,                0.62315,                0.22185,                 1.0741,                 1.1237,                 1.0253,                 0.9974,               0.009802,               0.009802,               0.009802
                     40,                0.87228,                 1.2619,                0.73034,                 1.0356,                0.73739,                0.67871,                0.69955,                0.51224,                 0.6662,                0.62651,                 0.5948,                0.19504,                  1.068,                 1.1521,                 1.0144,                 1.0099,              0.0097525,              0.0097525,              0.0097525
